# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/.refresh-20260903/UD-Tools/10ce40cf8a577714e51cf56b443dd4c2c6d55f91/data/feats.json	sha256=44d997b1fd6130a21b0859d0b47c22f0e8e3677975581a5cc71fe828e2101d68
code	feature	value
283	Deixis	Prox
284	Deixis	ProxH
285	Deixis	ProxS
286	Deixis	Remt
287	DeixisRef	1
288	DeixisRef	2
289	Deixis[psor]	Med
290	Deixis[psor]	Prox
291	Deixis[psor]	Remt
292	Delib	Yes
293	Deo	Yes
294	Derivation	AdvstO
295	Derivation	Al
296	Derivation	An
297	Derivation	Ana
298	Derivation	Anin
299	Derivation	Coll
300	Derivation	CompMod
301	Derivation	Cond
302	Derivation	Dimin
303	Derivation	F
304	Derivation	GenAttr
305	Derivation	Ig
306	Derivation	Igdyrji
307	Derivation	Igkost
308	Derivation	Igkosta
309	Derivation	Igkosti
310	Derivation	Igmoz
311	Derivation	Igtyr
312	Derivation	Igtyrji
313	Derivation	Ik
314	Derivation	InchL
315	Derivation	Inen
316	Derivation	Ja
317	Derivation	Ko
318	Derivation	La
319	Derivation	Lainen
320	Derivation	Llinen
321	Derivation	LocMod
322	Derivation	Men
323	Derivation	Minen
324	Derivation	Nins
325	Derivation	Nloc
326	Derivation	Nml
327	Derivation	Nmnr
328	Derivation	NomAg
329	Derivation	Npot
330	Derivation	OkshnOms
331	Derivation	Oma
332	Derivation	Omka
333	Derivation	Omon
334	Derivation	OvOms
335	Derivation	Ovt
336	Derivation	Ozj
337	Derivation	Poss
338	Derivation	Priv
339	Derivation	PrivMod
340	Derivation	PronGak
341	Derivation	Proprietive
342	Derivation	ProprietiveMod
343	Derivation	Shka
344	Derivation	Sjuro
345	Derivation	Sti
346	Derivation	Tar
347	Derivation	TempMod
348	Derivation	Ton
349	Derivation	Ttain
350	Derivation	U
351	Derivation	VAbe
352	Derivation	VGen
353	Derivation	VSj
354	Derivation	VTer
355	Derivation	VerbYcja
356	Derivation	VerbYks
357	Derivation	Voc
358	Derivation	VocKaj
359	Derivation	Vs
360	Derivation	Wife
361	Determ	Yes
362	Detrans	Ind
363	Dev	Pass
364	Dialect	Connaught
365	Dialect	Munster
366	Dialect	Ulster
367	Dist	Yes
368	Down	Yes
369	Dyn	No
370	Dyn	Yes
371	Echo	Ech
372	Echo	Rdp
373	Emph	No
374	Emph	Yes
375	Emphatic	Yes
376	Encl	C
377	Encl	Ve
378	Epenthesis	Yes
379	Ergative	Yes
380	Evident	Fh
381	Evident	Nfh
382	Evident	Nfh2
383	Evident	Rep
384	Excl	Yes
385	ExtPos	ADJ
386	ExtPos	ADP
387	ExtPos	ADV
388	ExtPos	AUX
389	ExtPos	CCONJ
390	ExtPos	DET
