# Generated by scripts/refresh-vocabulary-manifest.py from the authorities below; do not edit.
# authority	/vault/Data/.refresh-20260903/UD-Tools/10ce40cf8a577714e51cf56b443dd4c2c6d55f91/data/feats.json	sha256=44d997b1fd6130a21b0859d0b47c22f0e8e3677975581a5cc71fe828e2101d68
code	feature	value
1166	Top	Yes
1167	Trans	Yes
1168	Transc	Yes
1169	Tv	Yes
1170	Typo	Yes
1171	Uninflect	Yes
1172	Up	Yes
1173	Valency	1
1174	Valency	2
1175	Variant	Archaic
1176	Variant	Bound
1177	Variant	Dir
1178	Variant	Greek
1179	Variant	Long
1180	Variant	Nomin
1181	Variant	Short
1182	Variant	Uncontr
1183	Variant	Vclause
1184	Variant	Weak
1185	Ventive	No
1186	Ventive	Yes
1187	VerbClass	1
1188	VerbClass	1lit
1189	VerbClass	2
1190	VerbClass	2aeinf
1191	VerbClass	2aered
1192	VerbClass	2lit
1193	VerbClass	3aeinf
1194	VerbClass	3aered
1195	VerbClass	3lit
1196	VerbClass	4aeinf
1197	VerbClass	4lit
1198	VerbClass	5aeinf
1199	VerbClass	5lit
1200	VerbClass	6lit
1201	VerbClass	Anom
1202	VerbClass	Caus2aered
1203	VerbClass	Caus2lit
1204	VerbClass	Caus3aeinf
1205	VerbClass	Caus3aered
1206	VerbClass	Caus3lit
1207	VerbClass	Caus4aeinf
1208	VerbClass	Caus4lit
1209	VerbClass	Caus5lit
1210	VerbClass	Def
1211	VerbForm	Conv
1212	VerbForm	Cop
1213	VerbForm	Fin
1214	VerbForm	FinRel
1215	VerbForm	Gdv
1216	VerbForm	Ger
1217	VerbForm	Inf
1218	VerbForm	NomAg
1219	VerbForm	NonFin
1220	VerbForm	Part
1221	VerbForm	PartFut
1222	VerbForm	PartPast
1223	VerbForm	PartPres
1224	VerbForm	PartRes
1225	VerbForm	Post
1226	VerbForm	Prov
1227	VerbForm	Ser
1228	VerbForm	Stat
1229	VerbForm	Stem
1230	VerbForm	Sup
1231	VerbForm	Vnoun
1232	VerbStem	D
1233	VerbStem	Dt
1234	VerbStem	G
1235	VerbStem	Gt
1236	VerbStem	Gtn
1237	VerbStem	N
1238	VerbStem	Ntn
1239	VerbStem	S
1240	VerbStem	St
1241	VerbStem	Stn
1242	VerbType	Aux
1243	VerbType	Cop
1244	VerbType	Ideo
1245	VerbType	Light
1246	VerbType	Mod
1247	VerbType	Pas
1248	VerbType	Quasi
1249	VerbType	Vido
1250	Voice	Act
1251	Voice	AgFoc
1252	Voice	Antip
1253	Voice	Appl
1254	Voice	ApplPass
1255	Voice	ApplRcp
1256	Voice	ApplRfl
1257	Voice	Bfoc
1258	Voice	Cau
1259	Voice	CauCau
1260	Voice	CauCauPass
1261	Voice	CauInc
1262	Voice	CauPass
1263	Voice	CauPassRcp
1264	Voice	CauRcp
1265	Voice	CauRfl
1266	Voice	Com
1267	Voice	Dir
1268	Voice	Ifoc
1269	Voice	Inv
1270	Voice	Ivoc
1271	Voice	Lfoc
1272	Voice	Mid
1273	Voice	MidCau
1274	Voice	Pass
1275	Voice	PassPass
1276	Voice	PassRcp
1277	Voice	PassRfl
1278	Voice	Pat
1279	Voice	Rcp
1280	Voice	Rfl
1281	Voice	SCau
1282	Voice	Stat
1283	Voice	Trans
1284	Voice[add]	Appl
1285	Voice[add]	Cau
1286	Voice[add]	Pass
1287	Voice[add]	Rcp
1288	Voice[add]	Rfl
